algorithm,n,avg_time_ms,avg_comparisons,avg_swaps_or_copies,avg_calls,avg_maxDepth,all_correct
MergeSort,100,0.109387,642.80,975.40,15.00,4.00,true
QuickSort,100,0.147618,657.20,360.00,66.40,3.80,true
DeterministicSelect,100,0.166683,202.40,98.80,7.00,7.00,true
ClosestPair,100,1.474130,108.00,0.00,63.00,6.00,true
MergeSort,500,0.323009,4618.40,7253.40,63.00,6.00,true
QuickSort,500,0.158118,4941.20,2368.00,335.00,5.40,true
DeterministicSelect,500,0.118981,1027.40,525.60,6.60,6.60,true
ClosestPair,500,0.663257,732.00,0.00,255.00,8.00,true
MergeSort,1000,0.176618,10294.00,16564.40,127.00,7.00,true
QuickSort,1000,0.070836,10625.00,5288.40,668.60,6.40,true
DeterministicSelect,1000,0.188590,2048.80,1027.40,10.00,10.00,true
ClosestPair,1000,1.080358,1464.00,0.00,511.00,9.00,true
MergeSort,2000,0.291204,22661.40,37213.80,255.00,8.00,true
QuickSort,2000,0.133674,23979.40,12165.80,1338.20,7.00,true
DeterministicSelect,2000,0.137149,3992.40,2025.40,9.40,9.40,true
ClosestPair,2000,1.444449,2928.00,0.00,1023.00,10.00,true
MergeSort,5000,1.411910,58514.20,105464.40,1023.00,10.00,true
QuickSort,5000,0.538599,67780.80,34387.80,3320.80,8.20,true
DeterministicSelect,5000,0.375338,10188.80,5116.40,11.80,11.80,true
ClosestPair,5000,2.665898,4370.60,0.00,3855.00,12.00,true
MergeSort,10000,2.704408,127074.80,230944.60,2047.00,11.00,true
QuickSort,10000,0.744097,160775.20,78366.40,6660.80,8.40,true
DeterministicSelect,10000,0.456460,20184.40,10232.80,12.20,12.20,true
ClosestPair,10000,4.920030,8741.80,0.00,7711.00,13.00,true
